Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Lord of the Rings: The Two Towers,"$936,689,735","$339,789,881",36.3%,"$596,899,854",63.7%
2,Harry Potter and the Chamber of Secrets,"$878,979,634","$261,988,482",29.8%,"$616,991,152",70.2%
3,Spider-Man,"$821,708,551","$403,706,375",49.1%,"$418,002,176",50.9%
4,Star Wars: Episode II - Attack of the Clones,"$645,256,452","$302,191,252",46.8%,"$343,065,200",53.2%
5,Men in Black II,"$441,818,803","$190,418,803",43.1%,"$251,400,000",56.9%
6,Die Another Day,"$431,971,116","$160,942,139",37.3%,"$271,028,977",62.7%
7,Signs,"$408,247,917","$227,966,634",55.8%,"$180,281,283",44.2%
8,Ice Age,"$383,257,136","$176,387,405",46%,"$206,869,731",54%
9,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%
10,Minority Report,"$358,372,926","$132,072,926",36.9%,"$226,300,000",63.1%
11,Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%
12,Chicago,"$306,776,732","$170,687,518",55.6%,"$136,089,214",44.4%
13,Austin Powers in Goldmember,"$296,938,801","$213,307,889",71.8%,"$83,630,912",28.2%
14,xXx,"$277,448,382","$142,109,382",51.2%,"$135,339,000",48.8%
15,Scooby-Doo,"$275,650,703","$153,294,164",55.6%,"$122,356,539",44.4%
16,Lilo & Stitch,"$273,144,151","$145,794,338",53.4%,"$127,349,813",46.6%
17,The Ring,"$249,348,933","$129,128,133",51.8%,"$120,220,800",48.2%
18,8 Mile,"$242,875,078","$116,750,901",48.1%,"$126,124,177",51.9%
19,The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%
20,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%
21,Two Weeks Notice,"$199,043,242","$93,354,851",46.9%,"$105,688,391",53.1%
22,Panic Room,"$196,397,415","$96,397,334",49.1%,"$100,000,081",50.9%
23,The Sum of All Fears,"$193,921,372","$118,907,036",61.3%,"$75,014,336",38.7%
24,Gangs of New York,"$193,772,504","$77,812,000",40.2%,"$115,960,504",59.8%
25,Road to Perdition,"$181,001,478","$104,454,762",57.7%,"$76,546,716",42.3%
26,Sweet Home Alabama,"$180,622,424","$127,223,418",70.4%,"$53,399,006",29.6%
27,The Scorpion King,"$178,799,308","$91,047,077",50.9%,"$87,752,231",49.1%
28,Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%
29,The Santa Clause 2,"$172,855,065","$139,236,327",80.6%,"$33,618,738",19.4%
30,Mr. Deeds,"$171,269,535","$126,293,452",73.7%,"$44,976,083",26.3%
31,Stuart Little 2,"$169,956,806","$64,956,806",38.2%,"$105,000,000",61.8%
32,Blade II,"$155,010,032","$82,348,319",53.1%,"$72,661,713",46.9%
33,Maid in Manhattan,"$154,906,693","$94,011,225",60.7%,"$60,895,468",39.3%
34,About a Boy,"$130,549,455","$41,385,278",31.7%,"$89,164,177",68.3%
35,Space Station 3D,"$128,363,881","$93,383,953",72.7%,"$34,979,928",27.3%
36,The Time Machine,"$123,729,176","$56,832,494",45.9%,"$66,896,682",54.1%
37,Spirit: Stallion of the Cimarron,"$122,563,539","$73,280,117",59.8%,"$49,283,422",40.2%
38,The Pianist,"$120,072,577","$32,572,577",27.1%,"$87,500,000",72.9%
39,Spy Kids 2: Island of Lost Dreams,"$119,723,358","$85,846,429",71.7%,"$33,876,929",28.3%
40,Unfaithful,"$119,137,784","$52,775,765",44.3%,"$66,362,019",55.7%
41,Snow Dogs,"$115,035,090","$81,172,560",70.6%,"$33,862,530",29.4%
42,We Were Soldiers,"$114,660,784","$78,122,718",68.1%,"$36,538,066",31.9%
43,Insomnia,"$113,714,830","$67,355,513",59.2%,"$46,359,317",40.8%
44,Peter Pan 2: Return to Never Land,"$109,862,682","$48,430,258",44.1%,"$61,432,424",55.9%
45,Treasure Planet,"$109,578,115","$38,176,783",34.8%,"$71,401,332",65.2%
46,The Hours,"$108,846,072","$41,675,994",38.3%,"$67,170,078",61.7%
47,Asterix & Obelix: Mission Cleopatra,"$108,012,365",-,-,"$108,012,365",100%
48,About Schmidt,"$105,834,556","$65,016,287",61.4%,"$40,818,269",38.6%
49,The Tuxedo,"$104,391,623","$50,547,998",48.4%,"$53,843,625",51.6%
50,Resident Evil,"$102,984,862","$40,119,709",39%,"$62,865,153",61%
51,John Q,"$102,244,770","$71,756,802",70.2%,"$30,487,968",29.8%
52,40 Days and 40 Nights,"$95,146,283","$37,950,822",39.9%,"$57,195,461",60.1%
53,Changing Lanes,"$94,935,764","$66,818,548",70.4%,"$28,117,216",29.6%
54,28 Days Later...,"$82,719,885","$45,064,915",54.5%,"$37,654,970",45.5%
55,Reign of Fire,"$82,150,183","$43,061,982",52.4%,"$39,088,201",47.6%
56,The Rookie,"$80,693,537","$75,600,072",93.7%,"$5,093,465",6.3%
57,Jackass: The Movie,"$79,493,831","$64,255,312",80.8%,"$15,238,519",19.2%
58,Collateral Damage,"$78,382,433","$40,077,257",51.1%,"$38,305,176",48.9%
59,Showtime,"$77,741,732","$38,082,712",49%,"$39,659,020",51%
60,Windtalkers,"$77,628,265","$40,914,068",52.7%,"$36,714,197",47.3%
61,Barbershop,"$77,063,924","$75,782,105",98.3%,"$1,281,819",1.7%
62,Bend It Like Beckham,"$76,583,333","$32,543,449",42.5%,"$44,039,884",57.5%
63,The Count of Monte Cristo,"$75,395,048","$54,234,062",71.9%,"$21,160,986",28.1%
64,Divine Secrets of the Ya-Ya Sisterhood,"$73,839,240","$69,599,016",94.3%,"$4,240,224",5.7%
65,E.T. the Extra-Terrestrial 20th Anniversary,"$69,177,751","$35,306,015",51%,"$33,871,736",49%
66,The Sweetest Thing,"$68,696,770","$24,718,164",36%,"$43,978,606",64%
67,Ghost Ship,"$68,349,884","$30,113,491",44.1%,"$38,236,393",55.9%
68,Star Trek: Nemesis,"$67,336,470","$43,254,409",64.2%,"$24,082,061",35.8%
69,Bad Company,"$65,977,295","$30,160,161",45.7%,"$35,817,134",54.3%
70,K-19: The Widowmaker,"$65,716,126","$35,168,966",53.5%,"$30,547,160",46.5%
71,High Crimes,"$63,781,810","$41,543,917",65.1%,"$22,237,893",34.9%
72,Like Mike,"$62,274,780","$51,432,760",82.6%,"$10,842,020",17.4%
73,Crossroads,"$61,141,030","$37,191,304",60.8%,"$23,949,726",39.2%
74,The Wild Thornberrys,"$60,694,737","$40,108,697",66.1%,"$20,586,040",33.9%
75,Bowling for Columbine,"$58,008,423","$21,576,018",37.2%,"$36,432,405",62.8%
76,Drumline,"$57,588,485","$56,399,184",97.9%,"$1,189,301",2.1%
77,Murder by Numbers,"$56,714,147","$31,945,749",56.3%,"$24,768,398",43.7%
78,Frida,"$56,298,474","$25,885,000",46%,"$30,413,474",54%
79,The Mothman Prophecies,"$55,157,539","$35,746,370",64.8%,"$19,411,169",35.2%
80,Analyze That,"$55,003,135","$32,130,627",58.4%,"$22,872,508",41.6%
81,The Hot Chick,"$54,639,553","$35,081,594",64.2%,"$19,557,959",35.8%
82,The Cat Returns,"$53,452,652",-,-,"$53,452,652",100%
83,Big Fat Liar,"$52,970,014","$48,360,547",91.3%,"$4,609,467",8.7%
84,Dragonfly,"$52,323,400","$30,323,400",58%,"$22,000,000",42%
85,One Hour Photo,"$52,223,306","$31,597,131",60.5%,"$20,626,175",39.5%
86,Blue Crush,"$51,843,679","$40,390,647",77.9%,"$11,453,032",22.1%
87,Enough,"$51,806,184","$40,007,742",77.2%,"$11,798,442",22.8%
88,I Spy,"$51,386,477","$33,561,137",65.3%,"$17,825,340",34.7%
89,Talk to Her 2002 Re-release,"$51,001,550","$9,285,469",18.2%,"$41,716,081",81.8%
90,A Walk to Remember,"$47,494,916","$41,281,092",86.9%,"$6,213,824",13.1%
91,Eight Legged Freaks,"$45,867,333","$17,322,606",37.8%,"$28,544,727",62.2%
92,Queen of the Damned,"$45,479,110","$30,336,800",66.7%,"$15,142,310",33.3%
93,The Transporter,"$43,928,932","$25,296,447",57.6%,"$18,632,485",42.4%
94,The Master of Disguise,"$43,411,001","$40,388,794",93%,"$3,022,207",7%
95,Orange County,"$43,325,009","$41,076,018",94.8%,"$2,248,991",5.2%
96,8 Women,"$42,426,583","$3,098,776",7.3%,"$39,327,807",92.7%
97,Undercover Brother,"$41,604,473","$39,089,928",94%,"$2,514,545",6%
98,Pinocchio,"$41,314,585","$3,675,719",8.9%,"$37,638,866",91.1%
99,Clockstoppers,"$38,793,283","$36,989,956",95.4%,"$1,803,327",4.6%
100,Van Wilder: Party Liaison,"$38,275,483","$21,305,259",55.7%,"$16,970,224",44.3%
101,The Banger Sisters,"$38,068,353","$30,307,416",79.6%,"$7,760,937",20.4%
102,Halloween: Resurrection,"$37,664,855","$30,354,442",80.6%,"$7,310,413",19.4%
103,Swimfan,"$34,411,240","$28,564,995",83%,"$5,846,245",17%
104,Darkness,"$33,988,736","$22,163,442",65.2%,"$11,825,294",34.8%
105,Friday After Next,"$33,526,835","$33,253,609",99.2%,"$273,226",0.8%
106,The Crocodile Hunter: Collision Course,"$33,082,548","$28,442,574",86%,"$4,639,974",14%
107,Confessions of a Dangerous Mind,"$33,013,805","$16,007,718",48.5%,"$17,006,087",51.5%
108,Adaptation.,"$32,801,173","$22,498,520",68.6%,"$10,302,653",31.4%
109,Hart's War,"$32,287,044","$19,077,641",59.1%,"$13,209,403",40.9%
110,Blood Work,"$31,794,718","$26,235,081",82.5%,"$5,559,637",17.5%
111,The New Guy,"$31,167,388","$29,760,152",95.5%,"$1,407,236",4.5%
112,City of God,"$30,641,770","$7,564,459",24.7%,"$23,077,311",75.3%
113,Solaris,"$30,002,758","$14,973,382",49.9%,"$15,029,376",50.1%
114,The Four Feathers,"$29,882,645","$18,306,166",61.3%,"$11,576,479",38.7%
115,City by the Sea,"$29,414,087","$22,449,000",76.3%,"$6,965,087",23.7%
116,Christmas on the Nile,"$29,320,869",-,-,"$29,320,869",100%
117,Far from Heaven,"$29,027,914","$15,901,849",54.8%,"$13,126,065",45.2%
118,Family Honor,"$28,903,789",-,-,"$28,903,789",100%
119,Brown Sugar,"$28,316,451","$27,363,891",96.6%,"$952,560",3.4%
120,L'auberge espagnole,"$28,193,749","$1,067,438",3.8%,"$27,126,311",96.2%
121,Pokemon 4Ever: Celebi - Voice of the Forest,"$28,023,563","$1,727,447",6.2%,"$26,296,116",93.8%
122,The Quiet American,"$27,674,124","$12,988,801",46.9%,"$14,685,323",53.1%
123,The Crime of Padre Amaro,"$26,996,738","$5,717,044",21.2%,"$21,279,694",78.8%
124,All About the Benjamins,"$26,306,533","$25,916,319",98.5%,"$390,214",1.5%
125,Rollerball,"$25,852,764","$18,990,798",73.5%,"$6,861,966",26.5%
126,Jonah: A VeggieTales Movie,"$25,615,231","$25,581,229",99.9%,"$34,002",0.1%
127,The Way Home,"$24,952,738","$445,367",1.8%,"$24,507,371",98.2%
128,Punch-Drunk Love,"$24,665,649","$17,844,216",72.3%,"$6,821,433",27.7%
129,The Guru,"$24,128,852","$3,095,506",12.8%,"$21,033,346",87.2%
130,Dark Water,"$24,010,000",-,-,"$24,010,000",100%
131,25th Hour,"$23,928,503","$13,084,595",54.7%,"$10,843,908",45.3%
132,Sex Is Zero,"$23,915,279",-,-,"$23,915,279",100%
133,Eight Crazy Nights,"$23,833,131","$23,586,598",99%,"$246,533",1%
134,Detective Conan: The Phantom of Baker Street,"$23,786,606",-,-,"$23,786,606",100%
135,Antwone Fisher,"$23,367,586","$21,078,145",90.2%,"$2,289,441",9.8%
136,Ali G Indahouse,"$23,280,529",-,-,"$23,280,529",100%
137,Super Troopers,"$23,182,223","$18,492,362",79.8%,"$4,689,861",20.2%
138,"The Legend of Al, John and Jack","$23,039,985",-,-,"$23,039,985",100%
139,Phone,"$21,784,403",-,-,"$21,784,403",100%
140,White Oleander,"$21,672,284","$16,357,770",75.5%,"$5,314,514",24.5%
141,Pokémon Heroes,"$20,867,919","$746,381",3.6%,"$20,121,538",96.4%
142,Serving Sara,"$20,146,150","$16,930,185",84%,"$3,215,965",16%
143,Asterix & Obelix: Mission Cleopatra 2002 Re-release,"$20,015,611","$3,115,188",15.6%,"$16,900,423",84.4%
144,Ballistic: Ecks vs. Sever,"$19,924,033","$14,307,963",71.8%,"$5,616,070",28.2%
145,S1m0ne,"$19,576,023","$9,688,676",49.5%,"$9,887,347",50.5%
146,The Lion King 2002 IMAX Release,"$19,486,215","$15,686,215",80.5%,"$3,800,000",19.5%
147,Tuck Everlasting,"$19,344,615","$19,161,999",99.1%,"$182,616",0.9%
148,Half Past Dead,"$19,233,280","$15,567,860",80.9%,"$3,665,420",19.1%
149,Martin Lawrence Live: Runteldat,"$19,184,820","$19,184,820",100%,-,-
150,Feardotcom,"$18,902,015","$13,258,249",70.1%,"$5,643,766",29.9%
151,Empire,"$18,591,272","$17,600,423",94.7%,"$990,849",5.3%
152,The Country Bears,"$18,012,097","$16,990,825",94.3%,"$1,021,272",5.7%
153,Jail Breakers,"$17,797,711",-,-,"$17,797,711",100%
154,The Last Kiss,"$17,720,347","$1,048,950",5.9%,"$16,671,397",94.1%
155,Frailty,"$17,423,030","$13,110,448",75.2%,"$4,312,582",24.8%
156,The Importance of Being Earnest,"$17,290,970","$8,384,929",48.5%,"$8,906,041",51.5%
157,Kung Pow: Enter the Fist,"$16,994,625","$16,037,962",94.4%,"$956,663",5.6%
